iter	Logloss
0	0.5803373013
1	0.526038441
2	0.5044681957
3	0.4847454554
4	0.4764825346
5	0.4688268077
6	0.4665743488
7	0.4643828408
8	0.4622054049
9	0.4543927801
10	0.44598476
11	0.4450214278
12	0.4416065119
13	0.4397044341
14	0.4343800834
15	0.4263486204
16	0.423196422
17	0.4120069718
18	0.4074385454
19	0.3986903115
20	0.3964316322
21	0.393419923
22	0.3894332408
23	0.3866528316
24	0.3823629419
25	0.3782047108
26	0.3752732452
27	0.3693497417
28	0.3675415585
29	0.3666677318
30	0.3643391342
31	0.3619608475
32	0.3601440547
33	0.3573172718
34	0.3554168149
35	0.3544452257
36	0.3502151081
37	0.3473379415
38	0.3440285399
39	0.3404600101
40	0.3375465581
41	0.3350632255
42	0.3329954298
43	0.33049161
44	0.3263153284
45	0.3234187798
46	0.3216792256
47	0.3196381162
48	0.3169811613
49	0.3152787923
50	0.3117378014
51	0.3094201657
52	0.3056712827
53	0.3027541259
54	0.3002321346
55	0.2983324933
56	0.2946345677
57	0.2889014162
58	0.2855012093
59	0.2820591334
60	0.2800483206
61	0.277925089
62	0.2766026293
63	0.2742566127
64	0.2723590186
65	0.270245407
66	0.26881156
67	0.2671763201
68	0.2663707436
69	0.2640625857
70	0.2609443414
71	0.2592454404
72	0.258292128
73	0.2551505442
74	0.252144808
75	0.2490452457
76	0.2477655443
77	0.2463264874
78	0.2436677379
79	0.2411272961
80	0.2377053442
81	0.2357970829
82	0.2334965558
83	0.2319093947
84	0.2307626623
85	0.2287745259
86	0.2256467615
87	0.2242760441
88	0.2218430058
89	0.2199045848
90	0.216720711
91	0.2150091167
92	0.2131161695
93	0.2107594856
94	0.2096292619
95	0.2077037657
96	0.2059266631
97	0.2046839311
98	0.2029383091
99	0.2014091625
