iter	Passed	Remaining
0	15	925
1	24	713
2	35	666
3	49	687
4	63	697
5	80	726
6	95	722
7	113	737
8	126	718
9	141	708
10	145	650
11	162	649
12	177	640
13	191	628
14	203	610
15	218	599
16	237	600
17	247	578
18	266	574
19	272	544
20	286	532
21	291	504
22	305	491
23	320	480
24	334	467
25	345	451
26	364	445
27	382	436
28	406	434
29	427	427
30	449	420
31	467	409
32	480	392
33	494	377
34	509	363
35	525	350
36	540	335
37	563	325
38	581	312
39	587	293
40	605	280
41	621	266
42	635	251
43	649	236
44	664	221
45	679	206
46	697	193
47	711	177
48	720	161
49	724	144
50	750	132
51	769	118
52	791	104
53	806	89
54	819	74
55	834	59
56	852	44
57	871	30
58	906	15
59	930	0
