iter	Logloss
0	0.6611934548
1	0.6328490599
2	0.6108683509
3	0.5913982285
4	0.5803275974
5	0.5636974354
6	0.54967148
7	0.5369876005
8	0.5271360108
9	0.5157550318
10	0.5102591563
11	0.5011459098
12	0.4967337711
13	0.489794814
14	0.4802828376
15	0.4768122391
16	0.473315372
17	0.469338292
18	0.4663746557
19	0.4632879516
20	0.4582905715
21	0.4537223749
22	0.4497293644
23	0.443466921
24	0.4414913793
25	0.4383709027
26	0.4326455993
27	0.4311650919
28	0.4269138725
29	0.4205687177
30	0.4172953706
31	0.4136031903
32	0.4133982825
33	0.4079378651
34	0.4051799731
35	0.4028585557
36	0.3979541899
37	0.3968085803
38	0.3947283138
39	0.3927090116
40	0.3906214689
41	0.3891232152
42	0.3855906355
43	0.3825865216
44	0.3800494413
45	0.3799211427
46	0.3777696951
47	0.3755270753
48	0.3725509488
49	0.3702935538
50	0.3693187082
51	0.3679499245
52	0.3645613441
53	0.3631303157
54	0.3596776764
55	0.3580584066
56	0.3547884571
57	0.3527866134
58	0.3501580412
59	0.3490991997
60	0.3481230831
61	0.3457860459
62	0.3441329576
63	0.3440625181
64	0.3427597126
65	0.3418721954
66	0.3413226989
67	0.3385764855
68	0.336751354
69	0.3345278249
70	0.3336440245
71	0.3319888473
72	0.3292510712
73	0.3278932185
74	0.3278243346
75	0.32620665
76	0.3251365894
77	0.3241524011
78	0.3223187462
79	0.3206720124
80	0.3204132792
81	0.3194396148
82	0.3187480736
83	0.3163017366
84	0.3156588168
85	0.3146058599
86	0.3134206883
87	0.3121080776
88	0.3106151621
89	0.31054412
90	0.3080351208
91	0.3068813588
92	0.3056667674
93	0.3040387398
94	0.3019672434
95	0.2981925841
96	0.2970434973
97	0.2954038776
98	0.2931868174
99	0.2916214871
