iter	Passed	Remaining
0	4	391
1	9	397
2	13	405
3	18	397
4	20	348
5	24	347
6	29	349
7	33	345
8	38	343
9	43	345
10	47	342
11	52	340
12	56	335
13	61	331
14	65	327
15	66	307
16	70	303
17	75	303
18	80	299
19	84	296
20	89	292
21	93	288
22	97	284
23	101	280
24	106	276
25	110	271
26	114	268
27	119	264
28	123	260
29	128	256
30	133	253
31	134	244
32	139	240
33	143	236
34	148	233
35	150	225
36	154	221
37	158	217
38	162	212
39	167	209
40	172	206
41	177	202
42	181	198
43	185	194
44	190	190
45	194	186
46	198	181
47	202	177
48	207	173
49	211	169
50	215	164
51	216	158
52	220	154
53	225	150
54	229	146
55	234	142
56	238	137
57	242	133
58	246	129
59	250	125
60	255	121
61	259	117
62	263	113
63	268	108
64	272	104
65	277	100
66	281	96
67	285	92
68	289	88
69	294	84
70	298	79
71	302	75
72	307	71
73	311	67
74	315	63
75	319	58
76	324	54
77	328	50
78	336	46
79	346	43
80	354	39
81	361	35
82	365	30
83	369	26
84	373	21
85	377	17
86	382	13
87	386	8
88	391	4
89	395	0
